documento,ordenPeticion,codCentro,codEspecialidad,estado
11111A,1,60000001,0590006,0
11111A,2,60000001,0590007,0
11111A,3,60000001,0590019,0
11111A,4,60000003,0590006,0
11111A,5,60000003,0590007,0
11111A,6,60000005,0590006,0
22222B,1,60000001,0590006,0
22222B,2,60000001,0590007,0
22222B,3,60000001,0590019,0
22222B,4,60000003,0590006,0
22222B,5,60000003,0590007,0
22222B,6,60000005,0590006,0
33333C,1,60000001,0590006,0
33333C,2,60000001,0590007,0
33333C,3,60000001,0590019,0
33333C,4,60000003,0590006,0
33333C,5,60000003,0590007,0
33333C,6,60000005,0590006,0
44444D,1,60000001,0590006,0
44444D,2,60000001,0590007,0
44444D,3,60000001,0590019,0
44444D,4,60000003,0590006,0
44444D,5,60000003,0590007,0
44444D,6,60000005,0590006,0
55555E,1,60000007,0597PRI,0
55555E,2,60000007,0597FI,0
55555E,3,60000005,0597PRI,0
66666F,1,60000007,0597PRI,0
66666F,2,60000007,0597FI,0
66666F,3,60000005,0597PRI,0
77777G,3,60000007,0597PRI,0
77777G,1,60000007,0597FI,0
77777G,2,60000005,0597PRI,0
