documento,ordenPeticion,codCentro,codEspecialidad,estado
11111A,1,60000003,0597PRI,0
22222B,1,60000003,0597PRI,0
33333C,1,60000003,0597PRI,0
44444D,1,60000003,0597PRI,0
55555E,1,60000003,0597PRI,0
66666F,1,60000003,0597PRI,0
77777G,1,60000003,0597PRI,0
88888H,1,60000003,0597PRI,0
99999I,1,60000003,0597PRI,0
101010J,1,60000003,0597PRI,0
111111K,1,60000003,0597PRI,0
121212L,1,60000003,0597PRI,0
11111A,4,60000003,0597FI,0
22222B,4,60000003,0597FI,0
33333C,4,60000003,0597FI,0
44444D,4,60000003,0597FI,0
55555E,4,60000003,0597FI,0
66666F,4,60000003,0597FI,0
77777G,4,60000003,0597FI,0
88888H,4,60000003,0597FI,0
99999I,4,60000003,0597FI,0
101010J,4,60000003,0597FI,0
111111K,4,60000003,0597FI,0
121212L,4,60000003,0597FI,0
11111A,2,60000005,0597PRI,0
22222B,2,60000005,0597PRI,0
33333C,2,60000005,0597PRI,0
44444D,2,60000005,0597PRI,0
55555E,2,60000005,0597PRI,0
66666F,2,60000005,0597PRI,0
77777G,2,60000005,0597PRI,0
88888H,2,60000005,0597PRI,0
99999I,2,60000005,0597PRI,0
101010J,2,60000005,0597PRI,0
111111K,2,60000005,0597PRI,0
121212L,2,60000005,0597PRI,0
11111A,5,60000005,0597FI,0
22222B,5,60000005,0597FI,0
33333C,5,60000005,0597FI,0
44444D,5,60000005,0597FI,0
55555E,5,60000005,0597FI,0
66666F,5,60000005,0597FI,0
77777G,5,60000005,0597FI,0
88888H,5,60000005,0597FI,0
99999I,5,60000005,0597FI,0
101010J,5,60000005,0597FI,0
111111K,5,60000005,0597FI,0
121212L,5,60000005,0597FI,0
11111A,3,60000007,0597PRI,0
22222B,3,60000007,0597PRI,0
33333C,3,60000007,0597PRI,0
44444D,3,60000007,0597PRI,0
55555E,3,60000007,0597PRI,0
66666F,3,60000007,0597PRI,0
77777G,3,60000007,0597PRI,0
88888H,3,60000007,0597PRI,0
99999I,3,60000007,0597PRI,0
101010J,3,60000007,0597PRI,0
111111K,3,60000007,0597PRI,0
121212L,3,60000007,0597PRI,0
11111A,6,60000007,0597FI,0
22222B,6,60000007,0597FI,0
33333C,6,60000007,0597FI,0
44444D,6,60000007,0597FI,0
55555E,6,60000007,0597FI,0
66666F,6,60000007,0597FI,0
77777G,6,60000007,0597FI,0
88888H,6,60000007,0597FI,0
99999I,6,60000007,0597FI,0
101010J,6,60000007,0597FI,0
111111K,6,60000007,0597FI,0
121212L,6,60000007,0597FI,0
